[2025-12-01T02:47:06.793+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: carga_fato_recebimentos.load_fato_recebimentos scheduled__2025-11-30T00:00:00+00:00 [queued]>
[2025-12-01T02:47:06.801+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: carga_fato_recebimentos.load_fato_recebimentos scheduled__2025-11-30T00:00:00+00:00 [queued]>
[2025-12-01T02:47:06.801+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 3
[2025-12-01T02:47:09.272+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987565 não encontrada. Pulando.
[2025-12-01T02:47:09.272+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987566 não encontrada. Pulando.
[2025-12-01T02:47:09.273+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987567 não encontrada. Pulando.
[2025-12-01T02:47:09.273+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987568 não encontrada. Pulando.
[2025-12-01T02:47:09.273+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987569 não encontrada. Pulando.
[2025-12-01T02:47:09.274+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987570 não encontrada. Pulando.
[2025-12-01T02:47:09.274+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987571 não encontrada. Pulando.
[2025-12-01T02:47:09.274+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987572 não encontrada. Pulando.
[2025-12-01T02:47:09.274+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987573 não encontrada. Pulando.
[2025-12-01T02:47:09.275+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987574 não encontrada. Pulando.
[2025-12-01T02:47:09.275+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987575 não encontrada. Pulando.
[2025-12-01T02:47:09.275+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987576 não encontrada. Pulando.
[2025-12-01T02:47:09.276+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987577 não encontrada. Pulando.
[2025-12-01T02:47:09.276+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987578 não encontrada. Pulando.
[2025-12-01T02:47:09.276+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987579 não encontrada. Pulando.
[2025-12-01T02:47:09.276+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987580 não encontrada. Pulando.
[2025-12-01T02:47:09.277+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987581 não encontrada. Pulando.
[2025-12-01T02:47:09.277+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987582 não encontrada. Pulando.
[2025-12-01T02:47:09.277+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987583 não encontrada. Pulando.
[2025-12-01T02:47:09.278+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987584 não encontrada. Pulando.
[2025-12-01T02:47:09.278+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987585 não encontrada. Pulando.
[2025-12-01T02:47:09.278+0000] {logging_mixin.py:188} INFO - [WARN] ParcelaID 987586 não encontrada. Pulando.
